"","B.300","M.300"
"47",0.999999994747683,5.25231698299203e-09
"48",0.000705453799370991,0.999294546200629
"49",1.08149036052675e-08,0.999999989185096
"50",0.000125574985019306,0.999874425014981
"51",1.40327991171526e-09,0.99999999859672
"52",0.999999997455092,2.54490761914955e-09
"53",4.16927662386209e-06,0.999995830723376
"54",0.995601154862553,0.00439884513744654
"55",0.999999969758051,3.02419485088394e-08
"56",0.999974839996832,2.51600031683523e-05
"57",6.04468602281104e-08,0.99999993955314
"58",6.04636537547225e-06,0.999993953634625
"59",6.14413824411211e-09,0.999999993855862
"60",0.999999998569272,1.4307279192662e-09
"61",0.999999863915515,1.36084484703674e-07
"62",0.908599136680617,0.0914008633193826
"63",0.99996556909571,3.44309042903644e-05
"64",0.999998484223632,1.51577636792096e-06
"65",0.999999889938751,1.10061248860678e-07
"66",0.999998392361203,1.60763879679945e-06
"67",0.99999999763081,2.36918999544165e-09
"68",0.999999990449421,9.55057857086528e-09
"69",5.34129078970531e-09,0.999999994658709
"70",2.48752936164238e-08,0.999999975124706
"71",0.999999993997031,6.0029687439771e-09
"72",0.999998842836021,1.15716397878492e-06
"73",0.999999972930138,2.70698619536436e-08
"74",5.14724085144602e-08,0.999999948527592
"75",0.999999591198142,4.08801858522286e-07
"76",0.999918279859508,8.17201404916219e-05
"77",0.999999944265768,5.57342318950938e-08
"78",0.999999653182002,3.46817998402628e-07
"79",0.99999999555695,4.44305026539041e-09
"80",0.999999997788475,2.21152532744255e-09
"81",1.46895927941761e-07,0.999999853104072
"82",0.99374104638068,0.00625895361931989
"83",0.999999989361303,1.06386965958863e-08
"84",1.23647133358395e-08,0.999999987635287
"85",0.999999969935105,3.00648946133715e-08
"86",0.999999995499152,4.50084832621784e-09
"87",1.80970194949185e-09,0.999999998190298
"88",0.999999968066492,3.19335079449852e-08
"89",5.72870880882738e-08,0.999999942712912
"90",0.999956176079263,4.3823920737175e-05
"91",0.999764526299259,0.000235473700741447
"92",0.999997166466371,2.83353362939924e-06
"93",7.21073411984708e-05,0.999927892658802
"94",0.999986742283559,1.32577164404568e-05
"95",5.20621938851969e-10,0.999999999479378
"96",0.997800981802191,0.0021990181978093
"97",0.999999988232911,1.17670888227198e-08
"98",0.999999967985835,3.20141651664363e-08
"99",0.91010312403444,0.0898968759655595
"100",0.999999456081399,5.43918601176175e-07
"101",0.999999998674048,1.32595233836292e-09
"102",0.999999997127347,2.8726532913113e-09
"103",1.30535892020432e-08,0.999999986946411
"104",0.999997828087866,2.17191213362972e-06
"105",4.22065663296595e-06,0.999995779343367
"106",0.999997081949826,2.91805017370637e-06
"107",0.999999449235923,5.50764076728949e-07
"108",0.999999995770323,4.22967744333244e-09
"109",0.000265237334651475,0.999734762665348
"110",0.999999836287716,1.63712284404893e-07
"111",0.999999400409335,5.99590664495707e-07
"112",0.999999905268969,9.47310307285926e-08
"113",0.99979087609314,0.000209123906859874
"114",0.485075167997074,0.514924832002926
"115",0.99999974511082,2.54889180375052e-07
"116",0.999999977055662,2.29443376001248e-08
"117",0.858189371003358,0.141810628996642
"118",3.4142931120132e-05,0.99996585706888
"119",0.999999989280989,1.07190113258587e-08
"120",0.999999853680384,1.46319616318489e-07
"121",0.999999965564206,3.44357941637917e-08
"122",4.38124360712147e-09,0.999999995618756
"123",0.685336672596664,0.314663327403336
"124",0.983690320443934,0.0163096795560662
"125",0.999998351917581,1.64808241858808e-06
"126",0.99999998121179,1.87882103853719e-08
"127",0.999999992703166,7.2968343995737e-09
"128",0.291643537208617,0.708356462791383
"129",0.999992765873844,7.23412615572725e-06
"130",0.999901055059504,9.89449404956103e-05
"131",0.999476818973617,0.000523181026383268
"132",0.999999883748767,1.16251233218987e-07
"133",0.999997289599765,2.7104002345961e-06
"134",0.99999999553442,4.46557970796464e-09
"135",3.50227416114264e-09,0.999999996497726
"136",0.999573995494307,0.000426004505692512
"137",0.999999994624639,5.37536062099587e-09
"138",0.999999989542364,1.04576362697713e-08
"139",0.999999994931551,5.06844884114672e-09
"140",0.999999810539656,1.89460344378332e-07
"141",0.999999994196016,5.80398407938324e-09
"142",0.0132384634586782,0.986761536541322
